"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MD6LDL7Q","journalArticle","2010","Sampath, Dayalan; Vaishnavi, S.; Durgalakshmi, R.; Kutty, Bindu M.; Laxmi, T. Rao","Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female rats","Current Science","","0011-3891","","https://www.jstor.org/stable/24073505","The present study demonstrates the long-term effect of early maternal separation (EMS) and isolation stress on the adult emotionality behaviour of female rats. The maternal separation (MS) of rat pups constituted both separation and isolation from the littermates for three days from post-natal days 5–7 (stress hyporesponsive period, MS(SHRP)) and 16–18 (poststress hyporesponsive period, MS(PSHRP); 6 h/day) respectively. SHRP is characterized by reduced capacity to secrete stress hormone under stressful situations, which is postulated to be essential for the normal development of hypothalamic–pituitary–adrenal axis. A control group consisted of rat pups never handled or separated from the mother. At postnatal day 61, the rats were exposed to a light/dark test, exploratory activity in a novel environment and passive avoidance test. Both control and MS(PSHRP) groups did not differ in the latency to enter into the dark compartment, number of transitions between light and dark compartments and total motor activities in the preferred dark chamber. However, MS(SHRP) rats exhibited increased activity in the dark chamber in the light/dark test. When exposed to a novel environment, MS(PSHRP) groups exhibited significant decrease in the freezing response when compared to both control and MS(SHRP) groups. Furthermore, following exposure to a passive avoidance test, both MS groups showed decreased latency to enter into the preferred chamber with reduced locomotor activity in the dark compartment, indicating stress-induced decreased attention as a consequence of EMS stress.","2010","2025-05-06 05:36:23","2025-05-08 07:02:01","2025-05-05 10:03:08","1811-1815","","12","99","","","","","","","","","","","","","","","JSTOR","","Number: 12 Publisher: Temporary Publisher","","C:\Users\Admin\Zotero\storage\Y8S6LNKN\Sampath et al. - 2010 - Current Science - Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female.pdf","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBYW7K73","journalArticle","2022","Annapureddy, Jagadish; Ray, Somdattaa; Kamble, Nitish; Kumar, Gulshan; Pal, Pramod Kumar; Dv, Seshagiri; Jain, Sanjeev; Kutty, Bindu; Yadav, Ravi","The association of saccadic abnormalities with rem sleep in patients with Huntington's disease","Sleep Medicine","","1389-9457","10.1016/j.sleep.2021.10.035","https://www.sciencedirect.com/science/article/pii/S1389945721005487","Background Huntington's disease (HD) is a progressive neurodegenerative disorder characterised by chorea, cognitive impairment, psychiatric and behavioral disturbances. Sleep disturbances including reduced REM sleep have been observed in HD. Objectives The aim of the study was to study the polysomnography findings in HD and to assess whether oculomotor abnormalities are associated with poor REM sleep. Methods Twenty-nine genetically confirmed HD patients underwent clinical evaluation including extraocular movement and OKN examination. Twenty-six patients and 15 controls underwent overnight video polysomnography (VPSG). Results VPSG of 23 HD patients and 13 controls were considered for analysis. Compared to controls, HD patients had higher median wake period and higher WASO percentage (p = 0.005). REM sleep percentage was reduced significantly in HD in comparison to controls (p < 0.001). Out of 23 patients, only two patients had REM sleep above 20% while 14 patients had REM sleep percentage less than 15%. Poor horizontal OKN (grades 2 and 3) was associated with the presence of low REM sleep percentage (REM sleep less than 15%) (p = 0.02). Low REM sleep was also associated with severe illness (UHDRS) (p = 0.038). Conclusion An association between decreased REM sleep and OKN abnormalities indicate that EOM abnormalities seen in HD could lead to errors in scoring REM sleep. To understand the actual degree of decreased REM sleep percentage will require additional parameters in AASM guidelines to score REM sleep in patients with EOM abnormalities like that seen in HD.","2022-05-01","2025-05-06 05:36:22","2025-05-08 07:02:00","2025-05-05 10:02:27","84-89","","","93","","Sleep Medicine","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Admin\Zotero\storage\5JCZESX3\Annapureddy et al. - 2022 - Sleep Medicine - The association of saccadic abnormalities with rem sleep in patients with Huntington's disease.pdf","","#nosource","Sleep; REM sleep; Extra ocular movements; HD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIXWEK6X","journalArticle","2023","Nagendra, Ravindra P.; Sathyaprabha, Talakad N.; Kutty, Bindu M.","Enhanced dehydroepiandrosterone levels are positively correlated with N3 sleep stage in long-term mindfulness meditation practitioners","Sleep Science","","1984-0659","","https://www.thieme-connect.com/products/ejournals/html/10.5935/1984-0063.20220039","Objectives Meditation practices positively influence the neural, hormonal and autonomic systems. We have demonstrated that long-term practice of mindfulness meditation increases N3 and rapid eye movement (REM) sleep stages and bring efficient autonomic modulation during sleep. In the present study, the probable humoral correlation that could bring about these changes is evaluated.   Material and Methods Long-term Vipassana meditators (n=41) and controls (n=24) (males, 30-60 years of age) underwent a two-day consecutive whole night polysomnography recording. During the second day, with exposure to 100Lux brightness, blood was sampled from the antecubital vein between 8-9 PM and in subsequent early morning. Sleep stage was scored as per American Society of Sleep Medicine (ASSM) guidelines for the second-day recording. Sleep-related hormones were estimated - melatonin by radioimmunoassay; dehydroepiandrosterone (DHEA), cortisol, growth hormone (GH) and prolactin with enzyme-linked immunosorbent assay (ELISA); DHEA/cortisol ratio was calculated. Percentage of sleep stages and hormonal levels were compared between both groups using independent ‘t’ test and Pearson’s correlation was estimated between sleep stages and hormonal levels.   Results Meditators showed increased N3, REM sleep stages. Though evening cortisol was comparable between the two groups; early morning cortisol, diurnal DHEA and melatonin were significantly higher in meditators. Diurnal DHEA correlated significantly with the N3 sleep stage in meditators.   Discussion Higher diurnal DHEA despite variations in corresponding cortisol in meditators demonstrates that long-term Vipassana meditation practice modulates the hypothalamicpituitary-adrenal (HPA) axis and thereby influences sleep. Thus, the study provides evidence to explore the mechanism most likely involved with mindfulness meditation intervention in insomnia.","2023-12-01","2025-05-06 05:36:21","2025-05-06 05:36:21","2025-05-05 10:00:57","179-187","","","15","","","","","","","","","","en","Thieme Revinter Publicações Ltda. Rua do Matoso 170, Rio de Janeiro, RJ, CEP 20270-135, Brazil","","","","www.thieme-connect.com","","Publisher: Thieme Revinter Publicações Ltda.","","C:\Users\Admin\Zotero\storage\63XG533X\Nagendra et al. - 2023 - Enhanced dehydroepiandrosterone levels are positively correlated with N3 sleep stage in long-term mi.pdf","","","Sleep; Dehydroepiandrosterone; Hydrocortisone; Melatonin; Mindfulness; Sleep, Slow; Wave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSFBYHT7","journalArticle","2018","Seshagiri, Doniparthi Venkata; Sasidharan, Arun; Kumar, Gulshan; Pal, Pramod Kumar; Jain, Sanjeev; Kutty, Bindu M.; Yadav, Ravi","Challenges in sleep stage R scoring in patients with autosomal dominant spinocerebellar ataxias (SCA1, SCA2 and SCA3) and oculomotor abnormalities: a whole night polysomnographic evaluation","Sleep Medicine","","1389-9457","10.1016/j.sleep.2017.09.030","https://www.sciencedirect.com/science/article/pii/S1389945717304045","Objectives Spinocerebellar ataxias are progressive neurodegenerative disorders characterized by progressive cerebellar features with additional neuro-axis involvement. Oculomotor abnormality is one of the most frequent manifestations. This study was done to assess the polysomnographic abnormalities in patients with Spinocerebellar ataxia (SCA1, SCA2 and SCA3) and also to evaluate whether oculomotor abnormalities interfere with sleep stage R scoring. Methods The study was carried out using 36 genetically positive SCA patients. All patients underwent neurological examination with special focus on oculomotor function (optokinetic nystagmus-OKN and extraocular movement restriction-EOM). The sleep quality was measured with Pittsburgh Sleep Quality Index (PSQI) and Epworth Sleepiness Scale (ESS). Disease severity was assessed with International Cooperative Ataxia Rating Scale (ICARS). All the patients underwent over-night video-polysomnography (VPSG). Results Out of 36 patients studied, the data of 34 patients [SCA1 (n = 12), SCA2 (n = 13), SCA3 (n = 9)] were used for final analysis. Patients from SCA1, SCA2, and SCA3 category did not show significant differences in age and diseases severity (ICARS). All patients had vertical OKN impairment. Oculomotor impairment was higher in SCA2 patients. Sleep macro-architecture analysis showed absent stage R sleep, predominantly in SCA2 (69%) followed by SCA3 (44%) and SCA1 (8%). Patients showed a strong negative correlation of stage R sleep percentage with disease severity and oculomotor dysfunction. Conclusion Voluntary saccadic eye movement velocity and rapid eye movements (REMs) in sleep are strongly correlated. The more severe the saccadic velocity impairment, the less likely was it to generate REMs (rapid eye movements) during stage R. Accordingly 69% of SCA2 patients with severe occulomotor impairments showed absent stage R as per the AASM sleep scoring. We presume that the impaired REMs generation in sleep could be due to oculomotor abnormality and has resulted in spuriously low or absent stage R sleep percentage in SCA patients with conventional VPSG scoring rules. The present study recommends the modification of AASM scoring rules for stage R in patients with oculomotor abnormalities.","2018-02-01","2025-05-06 05:36:20","2025-05-08 07:02:01","2025-05-05 09:59:52","97-102","","","42","","Sleep Medicine","Challenges in sleep stage R scoring in patients with autosomal dominant spinocerebellar ataxias (SCA1, SCA2 and SCA3) and oculomotor abnormalities","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Admin\Zotero\storage\MJMGIE5Z\Seshagiri et al. - 2018 - Sleep Medicine - Challenges in sleep stage R scoring in patients with autosomal dominant spinocerebellar ataxias (SCA.pdf","","#nosource","Occulomotor abnormalities; Polysomnography; Rapid eye movement; Spinocerebellar ataxia; Stage R scoring rules","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKGMQH7A","journalArticle","2014","Kutty, Bindu M; Sulekha, Sathiamma; Sasidharan, Arun","Current understanding on the neurobiology of sleep and wakefulness","International Journal of Clinical and Experimental Physiology","","2348-8093","10.4103/2348-8093.129720","http://www.ijcep.org/text.asp?2014/1/1/3/129720","The modern concept of sleep and wakefulness has evolved from the landmark discovery of ascending reticular activating system by Moruzzi and Magoun in 1949. The other major contributions have come from the electrophysiological studies of sleep–wake states following the discovery of electroencephalogram by Hans Berger in 1929. Research studies over the past 60 years have provided us an enormous understanding on the neural basis of sleep–wake states and their regulatory mechanisms. By shuttling through the two behavioral states of sleep and wake, brain coordinates many complex functions essential for cellular homeostasis and adaptation to environment. This review brieﬂy summarizes the current awareness on the dynamicity of brain mechanisms of sleep and wakefulness as well as the newer concepts of the biological functions of sleep.","2014","2025-05-06 05:36:19","2025-05-09 10:45:54","2025-05-05 09:58:38","3","","1","1","","Int J Clin Exp Physiol","","","","","","","","en","","","","","DOI.org (Crossref)","","Number: 1","","C:\Users\Admin\Zotero\storage\W5UWTJHJ\Kutty et al. - 2014 - Current understanding on the neurobiology of sleep and wakefulness.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8K9GSR5","journalArticle","2018","Seshagiri, Doniparthi Venkata; Botta, Ragasudha; Sasidharan, Arun; Kumar Pal, Pramod; Jain, Sanjeev; Yadav, Ravi; Kutty, Bindu M.","Assessment of Sleep Spindle Density among Genetically Positive Spinocerebellar Ataxias Types 1, 2, and 3 Patients","Annals of Neurosciences","","0972-7531","10.1159/000484516","https://doi.org/10.1159/000484516","Objective: The effect of thalamic degeneration in patients with spinocerebellar ataxias (SCA) and sleep spindle (SS) abnormalities has not been studied so far, although there is a strong association between these disorders. This study was done to evaluate and compare the SS densities (SSDs) of genetically proven autosomal dominant SCA1, SCA2 and SCA3 patients with controls. Methods: Prospectively and genetically confirmed cases of SCA and controls were recruited. Patients were assessed clinically, were evaluated with sleep questionnaires and an overnight polysomnography was performed. SSDs were analyzed using neuroloop gain plugin of Polyman version 1.15 software. Results: Eighteen patients of SCA1 (n = 6), SCA2 (n = 5), SCA3 (n = 7) and 6 controls were recruited in our study. The mean age of SCA1 patients was 39.2 ± 5.4, of SCA2 patients was 30.8 ± 9.5 and of SCA3 patients was 35.4 ± 6.4 years. The mean duration of illness in SCA1 was 4.7 ± 1.7 years, in SCA2 it was 4.3 ± 4.4 years and in SCA3 it was 5 ± 2.3 years. The median SSD values (percentage loop gain) during stage 2 of non-rapid eye movement sleep were 16.9% in SCA1, 0% in SCA2, 1.2% in SCA3 and 59.5% in controls. There was a significant difference in SSD values in SCA2 (p = 0.04), SCA3 (p = 0.02) patients and controls. Conclusion: SSDs were significantly decreased in patients with SCA, which is a novel finding. This is likely due to the “thalamic switch” disruption, observed as reduced SSDs in SCA2 and SCA3. Sleep spindle deficits could act as one of the biomarkers of ongoing neurodegeneration in the thalamic circuitry of SCA patients.","2018-03-08","2025-05-06 05:36:18","2025-05-06 05:36:18","2025-05-05 09:58:20","106-111","","2","25","","Annals of Neurosciences","","","","","","","","","","","","","Silverchair","","Number: 2","","C:\Users\Admin\Zotero\storage\FVUDUVEX\Seshagiri et al. - 2018 - Annals of Neurosciences - Assessment of Sleep Spindle Density among Genetically Positive Spinocerebellar Ataxias Types 1, 2, a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGQ5I7GB","journalArticle","2019","Vidyadhara, D. J.; Sasidharan, Arun; Kutty, Bindu M.; Raju, T. R.; Alladi, Phalguni Anand","Admixing MPTP-resistant and MPTP-vulnerable mice enhances striatal field potentials and calbindin-D28K expression to avert motor behaviour deficits","Behavioural Brain Research","","0166-4328","10.1016/j.bbr.2018.12.015","https://www.sciencedirect.com/science/article/pii/S0166432818311902","Asian-Indians are less vulnerable to Parkinson’s disease (PD) than the Caucasians. Their admixed populace has even lesser risk. Studying this phenomenon using 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-susceptible C57BL/6J, MPTP-resistant CD-1 and their resistant crossbred mice revealed differences in the nigrostriatal cyto-molecular features. Here, we investigated the electrophysiological and behavioural correlates for differential MPTP-susceptibility and their outcome upon admixing. We recorded local field potentials (LFPs) from dorsal striatum and assessed motor co-ordination using rotarod and grip strength measures. Nigral calbindin-D28K expression, a regulator of striatal activity through nigrostriatal projections was evaluated using immunohistochemistry. The crossbreds had significantly higher baseline striatal LFPs. MPTP significantly increased the neuronal activity in delta (0.5–4 Hz) and low beta (12–16 Hz) ranges in C57BL/6J; significant increase across frequency bands till high beta (0.5–30 Hz) in CD-1, and caused no alterations in crossbreds. MPTP further depleted the already low nigral calbindin-D28K expression in C57BL/6J. While in crossbreds, it was further up-regulated. MPTP affected the rotarod and grip strength performance of the C57BL/6J, while the injected CD-1 and crossbreds performed well. The increased striatal β-oscillations are comparable to that in PD patients. Higher power in CD-1 may be compensatory in nature, which were also reported in pre-symptomatic monkeys. Concurrent up-regulation of nigral calbindin-D28K may assist maintenance of striatal activity by buffering calcium overload in nigra. Thus, preserved motor behaviour in PD reminiscent conditions in CD-1 and crossbreds complement compensated/unaffected striatal LFPs. Similar electrophysiological correlates and cytomorphological features are envisaged in human phenomenon of differential PD prevalence, which are modulated upon admixing.","2019-03-15","2025-05-06 05:36:18","2025-05-06 05:36:18","2025-05-05 09:58:16","216-227","","","360","","Behavioural Brain Research","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Admin\Zotero\storage\TY8RM8AR\Vidyadhara et al. - 2019 - Behavioural Brain Research - Admixing MPTP-resistant and MPTP-vulnerable mice enhances striatal field potentials and calbindin-D2.pdf","","","Substantia nigra pars compacta; Admixing; C57BL/6J and CD-1 mice; Calbindin-D28K; Grip strength; Local field potentials; MPTP; Parkinson disease; Rotarod; Striatum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EG82IXTJ","journalArticle","2018","Kumar, Gulshan; Sasidharan, Arun; Nair, Ajay Kumar; Kutty, Bindu M.","Efficacy of the combination of cognitive training and acoustic stimulation in eliciting lucid dreams during undisturbed sleep - a pilot study using polysomnography, dream reports and questionnaires","International Journal of Dream Research","","1866-7953","10.11588/ijodr.2018.2.46417","https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/46417","Lucid dreaming is a unique state between dreaming sleep and waking, wherein one is aware of being in dream and able to control dream contents. The present study was aimed as a proof-of-concept to a previously proposed idea that combining a cognitive training protocol with auditory cue during sleep could cause effective lucid dreaming induction even among healthy participants who had no history of lucid dreaming.11 healthy male participants underwent baseline polysomnography (PSG). Participants were then divided into two groups: Lucid dream induction group (n=6, age=29±3.16yrs (mean±SD)) practiced cognitive training (Tholey-combined) for three months, whereasControl group (n=5, age=25±0.83yrs) did not have such training. All were trained to move their eyes (left-right 3 times continuously) during lucid dreaming. Following three months, whole night PSG was conducted on both groups, during which participants were presented with acoustic stimuli during REM sleep state to facilitate lucid dreaming. Unlike control group, 4 participants out of 6from lucid dream induction group reported lucid dreams during training period and 5 participants reported lucid during the second PSG done after three months with enhanced gamma power in fronto-central region (indicating hyperfrontality during lucid dreams). The participants also reported various aspects of subjective experience associated with lucid dreams.The study demonstrated the effectiveness of both cognitive training and auditory cues towards lucid dreaming induction in naïve participants. A proper understanding of brain activity during lucid dreaming would help us understand the brain activities that provide more insight into the significance of lucid dream induction for the normal as well mentally ill.","2018-11-01","2025-05-06 05:36:17","2025-05-06 05:36:17","2025-05-05 09:57:28","197-202","","","","","","","","","","","","","en","Copyright (c) 2018 International Journal of Dream Research","","","","journals.ub.uni-heidelberg.de","","","","C:\Users\Admin\Zotero\storage\BHRB9YJS\Kumar et al. - 2018 - International Journal of Dream Research - Efficacy of the combination of cognitive training and acoustic stimulation in eliciting lucid dreams.pdf","","","Polysomnography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFSZSLZN","journalArticle","2014","Smitha, Jangama S. M.; Roopa, Ravindranath; Sagar, BK Chandrasekhar; Kutty, Bindu M.; Andrade, Chittaranjan","Images in Electroconvulsive Therapy: ECS Dose-Dependently Increases Cell Proliferation in the Subgranular Region of the Rat Hippocampus","The Journal of ECT","","1095-0680","10.1097/YCT.0000000000000076","https://journals.lww.com/ectjournal/fulltext/2014/09000/Images_in_Electroconvulsive_Therapy__ECS.5.aspx","Stress and depression are associated with impaired neuroplasticity in the hippocampus; there is a decrease in neurogenesis, which is hypothesized to decrease the adaptative competence of the organism. Representative light microscopy images are presented which show that 6 once-daily electroconvulsive shocks (ECS), dose-dependently increased new cell formation in the subgranular region of the hippocampus in healthy adult male Wistar rats (10 sections per rat, 3 rats in each of sham ECS, 10 mC, and 40 mC groups). These neuroplasticity changes, demonstrated 1 month after the last ECS, may explain a part of the mechanism of action of electroconvulsive therapy in conditions such as depression.","2014-09","2025-05-06 05:36:15","2025-05-06 05:36:15","2025-05-05 09:57:20","193","","3","30","","","Images in Electroconvulsive Therapy","","","","","","","en-US","","","","","journals.lww.com","","Number: 3","","C:\Users\Admin\Zotero\storage\ILT4E25N\Smitha et al. - 2014 - The Journal of ECT - Images in Electroconvulsive Therapy ECS Dose-Dependently Increases Cell Proliferation in the Subgra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFSA8KQS","journalArticle","2014","Smitha, Jangama S. M.; Roopa, Ravindranath; Khaleel, Nagarchi; Kutty, Bindu M.; Andrade, Chittaranjan","Images in Electroconvulsive Therapy: Electroconvulsive Shocks Dose-Dependently Increase Dendritic Arborization in the CA1 Region of the Rat Hippocampus","The Journal of ECT","","1095-0680","10.1097/YCT.0000000000000077","https://journals.lww.com/ectjournal/FullText/2014/09000/Images_in_Electroconvulsive_Therapy_.4.aspx","Stress and depression are associated with impaired neuroplasticity in the hippocampus: there is decreased dendritic arborization and synaptogenesis, which is hypothesized to explain decreased adaptive competence of the organism. Representative light microscopy images are presented that show that 6 once-daily electroconvulsive shocks (ECSs) dose-dependently increased dendritic arborization in the CA1 region of the hippocampus in healthy, adult, male Wistar rats (n = 10 in each of sham, 10-mC, and 40-mC ECS groups). These neuroplasticity changes, identified 1 month after the last ECS, may explain a part of the mechanism of action of electroconvulsive therapy in conditions such as depression.","2014-09","2025-05-06 05:36:12","2025-05-06 05:36:12","2025-05-05 09:57:15","191","","3","30","","","Images in Electroconvulsive Therapy","","","","","","","en-US","","","","","journals.lww.com","","Number: 3","","C:\Users\Admin\Zotero\storage\TJ7EZHWK\Smitha et al. - 2014 - The Journal of ECT - Images in Electroconvulsive Therapy Electroconvulsive Shocks Dose-Dependently Increase Dendritic Ar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZ3MUNRD","journalArticle","2020","Senthilkumar, Sivapriya; Venugopal, Chaitra; Parveen, Shagufta; K, Shobha; Rai, Kiranmai S.; Kutty, Bindu M.; Dhanushkodi, Anandh","Remarkable migration propensity of dental pulp stem cells towards neurodegenerative milieu: An <i>in vitro</i> analysis","NeuroToxicology","","0161-813X","10.1016/j.neuro.2020.08.006","https://www.sciencedirect.com/science/article/pii/S0161813X20301303","Stem cell therapy provides a ray of hope for treating neurodegenerative diseases (ND). Bone marrow mesenchymal stem cells (BM-MSC) were extensively investigated for their role in neuroregeneration. However, drawbacks like painful bone marrow extraction, less proliferation and poor CNS engraftment following systemic injections of BM-MSC prompt us to search for alternate/appropriate source of MSC for treating ND. In this context, dental pulp stem cells (DPSC) could be an alternative to BM-MSC as it possess both mesenchymal and neural characteristic features due to its origin from ectoderm, ease of isolation, higher proliferation index and better neuroprotection. A study on the migration potential of DPSC compared to BM-MSC in a neurodegenerative condition is warranted. Given the neural crest origin, we hypothesize that DPSC possess better migration towards neurodegenerative milieu as compared to BM-MSC. In this prospect, we investigated the migration potential of DPSC in an in vitro neurodegenerative condition. Towards this, transwell, Matrigel and chorioallantoic membrane (CAM) migration assays were carried-out by seeding hippocampal neurons in the lower chamber and treated with 300 μM kainic acid (KA) for 6 h to induce neurodegeneration. Subsequently, the upper chamber of transwell was loaded with DPSC/BM-MSC and their migration potential was assessed following 24 h of incubation. Our results revealed that the migration potential of DPSC/BM-MSC was comparable in non-degenerative condition. However, following injury the migration potential of DPSC towards the degenerating site was significantly higher as compared to BM-MSC. Furthermore, upon exposure of naïve DPSC/BM-MSCs to culture medium derived from neurodegenerative milieu resulted in significant upregulation of homing factors like SDF-1alpha, CXCR-4, VCAM-1, VLA-4, CD44, MMP-2 suggesting that the superior migration potential of DPSC might be due to prompt expression of homing factors in DPSC compared to BM-MSCs.","2020-12-01","2025-05-06 05:36:12","2025-05-06 05:36:12","2025-05-05 09:57:17","89-100","","","81","","NeuroToxicology","Remarkable migration propensity of dental pulp stem cells towards neurodegenerative milieu","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Admin\Zotero\storage\CNMEBY88\Senthilkumar et al. - 2020 - NeuroToxicology - Remarkable migration propensity of dental pulp stem cells towards neurodegenerative milieu An in.pdf","","","Hippocampus; Neurodegeneration; Dental pulp stem cells; Mesenchymal stem cells; Migration; Stromal cell derived factor-alpha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AERA437P","journalArticle","2016","Kapgal, Vijayakumar; Prem, Neethi; Hegde, Preethi; Laxmi, T. R.; Kutty, Bindu M.","Long term exposure to combination paradigm of environmental enrichment, physical exercise and diet reverses the spatial memory deficits and restores hippocampal neurogenesis in ventral subicular lesioned rats","Neurobiology of Learning and Memory","","1074-7427","10.1016/j.nlm.2016.01.013","https://www.sciencedirect.com/science/article/pii/S1074742716000320","Subiculum is an important structure of the hippocampal formation and plays an imperative role in spatial learning and memory functions. We have demonstrated earlier the cognitive impairment following bilateral ventral subicular lesion (VSL) in rats. We found that short term exposure to enriched environment (EE) did not help to reverse the spatial memory deficits in water maze task suggesting the need for an appropriate enriched paradigm towards the recovery of spatial memory. In the present study, the efficacy of long term exposure of VSL rats to combination paradigm of environmental enrichment (EE), physical exercise and 18 C.W. diet (Combination Therapy – CT) in reversing the spatial memory deficits in Morris water maze task has been studied. Ibotenate lesioning of ventral subiculum produced significant impairment of performance in the Morris water maze and reduced the hippocampal neurogenesis in rats. Post lesion exposure to C.T. restored the hippocampal neurogenesis and improved the spatial memory functions in VSL rats. Our study supports the hypothesis that the combination paradigm is critical towards the development of an enhanced behavioral and cognitive experience especially in conditions of CNS insults and the associated cognitive dysfunctions.","2016-04-01","2025-05-06 05:36:09","2025-05-06 05:36:09","2025-05-05 09:56:34","61-70","","","130","","Neurobiology of Learning and Memory","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\Admin\Zotero\storage\VB7K2488\Kapgal et al. - 2016 - Neurobiology of Learning and Memory - Long term exposure to combination paradigm of environmental enrichment, physical exercise and diet r.pdf","","","Ventral subiculum; Spatial memory; Adult neurogenesis; Combination paradigm (environmental enrichment, physical exercise, diet); Ibotenate lesioning; Morris water maze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GT64QWR","journalArticle","2005","Bindu, B.; Rekha, J.; Kutty, Bindu M.","Post insult enriched housing improves the 8-arm radial maze performance but not the Morris water maze task in ventral subicular lesioned rats","Brain Research","","0006-8993","10.1016/j.brainres.2005.09.044","https://www.sciencedirect.com/science/article/pii/S0006899305013727","The present study attempted to evaluate the efficacy of enriched housing conditions in promoting behavioral recovery following subicular lesion. Rats with bilateral ibotenic acid lesions of ventral subiculum were exposed to either enriched housing conditions or standard housing for 6 h daily for 10 days. The performance of the lesioned rats reared in standard housing conditions was severely impaired in both 8-arm radial maze and water maze tasks. Lesioned rats exposed to enriched housing showed behavioral recovery in the 8-arm radial maze but not in the water maze. Our study suggests the possibility that recovery may be based on the functional demand of spatial tasks and may require more appropriate environmental stimulation.","2005-11-30","2025-05-06 05:36:08","2025-05-06 05:36:08","2025-05-05 09:17:16","121-131","","2","1063","","Brain Research","","","","","","","","","","","","","ScienceDirect","","Number: 2","","C:\Users\Admin\Zotero\storage\NIBJMKGX\Bindu et al. - 2005 - Brain Research - Post insult enriched housing improves the 8-arm radial maze performance but not the Morris water maz.pdf","","","Ventral subicular lesion; Behavioral recovery; Enriched housing; Impairment; Spatial task","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
